expenditure_id,work_id,state,mp_name,constituency,expenditure_date,vendor_name,payment_status,fund_disbursed_amount,data_notes,is_exact_duplicate,duplicate_group_id,duplicate_group_size,potential_duplicate_amount,expenditure_without_matching_work
EXP-000001,WS/MP18001/2024-2025/163093,Andhra Pradesh,GM Harish Balayogi,AMALAPURAM(SC),2025-05-07,Lakshmi Automotives India Pvt Ltd,Payment Success,1010000.0,,False,,,0.0,False
EXP-000002,WS/MP18001/2025-2026/231993,Andhra Pradesh,GM Harish Balayogi,AMALAPURAM(SC),2026-09-01,Palepu Vishnu Phani Srikanth,Payment In-Progress,859213.0,,False,,,0.0,False
EXP-000003,WS/MP18001/2025-2026/242981,Andhra Pradesh,GM Harish Balayogi,AMALAPURAM(SC),2026-04-08,M ANJENAYA REDDY,Payment Success,498909.0,,False,,,0.0,False
EXP-000004,WS/MP18001/2025-2026/242984,Andhra Pradesh,GM Harish Balayogi,AMALAPURAM(SC),2026-04-08,NALLA KRISHNA CHAITANYA,Payment Success,489863.0,,False,,,0.0,False
EXP-000005,WS/MP18001/2025-2026/255458,Andhra Pradesh,GM Harish Balayogi,AMALAPURAM(SC),2026-08-22,PINDI UMA LAKSHMANA KUMAR,Payment Success,499671.0,,False,,,0.0,False
EXP-000006,WS/MP18001/2026-2027/275215,Andhra Pradesh,GM Harish Balayogi,AMALAPURAM(SC),2026-07-31,Rekhapalli Veera Venkata Krishnarjunarao,Payment Success,499885.0,,False,,,0.0,False
EXP-000007,WS/MP18002/2025-2026/219744,Andhra Pradesh,C.M.RAMESH,ANAKAPALLE,2026-02-16,SREE MURUGAN CONSTRUCTION,Payment Success,1329868.0,,False,,,0.0,False
EXP-000008,WS/MP18002/2025-2026/219744,Andhra Pradesh,C.M.RAMESH,ANAKAPALLE,2025-10-16,SREE MURUGAN CONSTRUCTION,Payment Success,1070102.0,,False,,,0.0,False
EXP-000009,WS/MP18002/2025-2026/220739,Andhra Pradesh,C.M.RAMESH,ANAKAPALLE,2026-05-01,M SATYARAO AND CO,Payment Success,1222344.0,,False,,,0.0,False
EXP-000010,WS/MP18002/2025-2026/232412,Andhra Pradesh,C.M.RAMESH,ANAKAPALLE,2025-12-20,GRAMONNATI,Payment Success,599672.0,,False,,,0.0,False
EXP-000011,WS/MP18002/2026-2027/274759,Andhra Pradesh,C.M.RAMESH,ANAKAPALLE,2026-05-01,MS NNR INFRASTRUCTURE,Payment Success,149826.0,,False,,,0.0,False
EXP-000012,WS/MP18002/2026-2027/274760,Andhra Pradesh,C.M.RAMESH,ANAKAPALLE,2026-05-01,MS NNR INFRASTRUCTURE,Payment Success,149845.0,,False,,,0.0,False
