expenditure_id,work_id,state,mp_name,constituency,expenditure_date,vendor_name,payment_status,fund_disbursed_amount,data_notes,is_exact_duplicate,duplicate_group_id,duplicate_group_size,potential_duplicate_amount,expenditure_without_matching_work
MP-EXP-000001,WS/MP18098/2024-2025/180413,Madhya Pradesh,BHARTI PARDHI,BALAGHAT,2025-05-22,MP State Agro Balaghat,Payment Success,190546.0,,False,,,0.0,False
MP-EXP-000002,WS/MP18098/2024-2025/180437,Madhya Pradesh,BHARTI PARDHI,BALAGHAT,2025-05-24,DEVESH KUMAR PATLE,Payment Success,169800.0,"Exact duplicate transaction record appears 2x in source for this Work_ID (same date, vendor, status, amount).",True,DUP-B6520139F4A44D08,2,0.0,False
MP-EXP-000003,WS/MP18098/2024-2025/180437,Madhya Pradesh,BHARTI PARDHI,BALAGHAT,2025-05-24,DEVESH KUMAR PATLE,Payment Success,169800.0,"Exact duplicate transaction record appears 2x in source for this Work_ID (same date, vendor, status, amount).",True,DUP-B6520139F4A44D08,2,169800.0,False
MP-EXP-000004,WS/MP18098/2024-2025/180437,Madhya Pradesh,BHARTI PARDHI,BALAGHAT,2025-05-24,DEVESH KUMAR PATLE,Payment Success,169500.0,"Exact duplicate transaction record appears 2x in source for this Work_ID (same date, vendor, status, amount).",True,DUP-29BEF5423D7C8025,2,0.0,False
MP-EXP-000005,WS/MP18098/2024-2025/180437,Madhya Pradesh,BHARTI PARDHI,BALAGHAT,2025-05-24,DEVESH KUMAR PATLE,Payment Success,169500.0,"Exact duplicate transaction record appears 2x in source for this Work_ID (same date, vendor, status, amount).",True,DUP-29BEF5423D7C8025,2,169500.0,False
MP-EXP-000006,WS/MP18098/2024-2025/180437,Madhya Pradesh,BHARTI PARDHI,BALAGHAT,2025-05-24,DEVESH KUMAR PATLE,Payment Success,169950.0,"Exact duplicate transaction record appears 2x in source for this Work_ID (same date, vendor, status, amount).",True,DUP-80A8186B172B8FFE,2,0.0,False
MP-EXP-000007,WS/MP18098/2024-2025/180437,Madhya Pradesh,BHARTI PARDHI,BALAGHAT,2025-05-24,DEVESH KUMAR PATLE,Payment Success,169950.0,"Exact duplicate transaction record appears 2x in source for this Work_ID (same date, vendor, status, amount).",True,DUP-80A8186B172B8FFE,2,169950.0,False
MP-EXP-000008,WS/MP18098/2024-2025/180437,Madhya Pradesh,BHARTI PARDHI,BALAGHAT,2025-05-24,DEVESH KUMAR PATLE,Payment Success,169675.0,"Exact duplicate transaction record appears 2x in source for this Work_ID (same date, vendor, status, amount).",True,DUP-794DF38C3A94EC33,2,0.0,False
MP-EXP-000009,WS/MP18098/2024-2025/180437,Madhya Pradesh,BHARTI PARDHI,BALAGHAT,2025-05-24,DEVESH KUMAR PATLE,Payment Success,169675.0,"Exact duplicate transaction record appears 2x in source for this Work_ID (same date, vendor, status, amount).",True,DUP-794DF38C3A94EC33,2,169675.0,False
MP-EXP-000010,WS/MP18098/2024-2025/180437,Madhya Pradesh,BHARTI PARDHI,BALAGHAT,2025-05-24,DEVESH KUMAR PATLE,Payment Success,170225.0,,False,,,0.0,False
