expenditure_id,work_id,state,mp_name,constituency,expenditure_date,vendor_name,payment_status,fund_disbursed_amount,data_notes,is_exact_duplicate,duplicate_group_id,duplicate_group_size,potential_duplicate_amount,expenditure_without_matching_work
EXP-000001,WS/MP381/2024-2025/153012,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2025-01-02,THE CHAWINDA COOPRATIVE LABOUR AND CONSTRUCTION SOCIETY,Payment Success,492600.0,,False,,,0.0,False
EXP-000002,WS/MP381/2024-2025/153036,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2025-03-06,SURINDER TRADERS,Payment Success,143320.0,,False,,,0.0,True
EXP-000003,WS/MP381/2024-2025/164560,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2025-04-24,SARPANCH GRAM PANCHAYAT JAUNS,Payment Success,100585.0,,False,,,0.0,True
EXP-000004,WS/MP381/2024-2025/164560,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2025-04-24,SARPANCH GRAM PANCHAYAT JAUNS,Payment Success,99415.0,,False,,,0.0,True
EXP-000005,WS/MP381/2025-2026/184099,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2025-05-08,Pspcl West Sub Div Chheharta,Payment Success,20602.0,,False,,,0.0,True
EXP-000006,WS/MP381/2025-2026/203253,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2025-09-01,SARPANCH GRAM PANCHAYAT JHANDEY,Payment Success,35000.0,"Exact duplicate transaction record appears 2x in source for this Work_ID (same date, vendor, status, amount).",True,DUP-1AA0707E68D867E1,2,0.0,True
EXP-000007,WS/MP381/2025-2026/203253,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2025-09-01,SARPANCH GRAM PANCHAYAT JHANDEY,Payment Success,35000.0,"Exact duplicate transaction record appears 2x in source for this Work_ID (same date, vendor, status, amount).",True,DUP-1AA0707E68D867E1,2,35000.0,True
EXP-000008,WS/MP381/2025-2026/203253,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2025-09-02,SARPANCH GRAM PANCHAYAT JHANDEY,Payment Success,170000.0,,False,,,0.0,True
EXP-000009,WS/MP381/2025-2026/203253,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2025-09-02,SARPANCH GRAM PANCHAYAT JHANDEY,Payment Success,39000.0,"Exact duplicate transaction record appears 2x in source for this Work_ID (same date, vendor, status, amount).",True,DUP-F7E2ABD5677579B8,2,0.0,True
EXP-000010,WS/MP381/2025-2026/203253,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2025-09-02,SARPANCH GRAM PANCHAYAT JHANDEY,Payment Success,39000.0,"Exact duplicate transaction record appears 2x in source for this Work_ID (same date, vendor, status, amount).",True,DUP-F7E2ABD5677579B8,2,39000.0,True
EXP-000011,WS/MP381/2025-2026/203253,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2025-09-02,SARPANCH GRAM PANCHAYAT JHANDEY,Payment Success,49500.0,,False,,,0.0,True
EXP-000012,WS/MP381/2025-2026/203253,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2025-09-02,SARPANCH GRAM PANCHAYAT JHANDEY,Payment Success,32500.0,,False,,,0.0,True
EXP-000013,WS/MP381/2025-2026/203216,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2025-11-24,THE CHAWINDA COOPRATIVE LABOUR AND CONSTRUCTION SOCIETY,Payment Success,499998.0,,False,,,0.0,True
EXP-000014,WS/MP381/2025-2026/203216,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2026-01-23,THE CHAWINDA COOPRATIVE LABOUR AND CONSTRUCTION SOCIETY,Payment Success,487925.0,,False,,,0.0,True
EXP-000015,WS/MP381/2025-2026/227441,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2026-06-19,N S CONTRACTOR,Payment Success,925835.0,,False,,,0.0,True
EXP-000016,WS/MP381/2025-2026/262032,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2026-04-10,SURINDER TRADERS,Payment Success,391488.0,,False,,,0.0,True
EXP-000017,WS/MP381/2025-2026/254856,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2026-06-15,Sahota Building Material,Payment Success,309750.0,,False,,,0.0,True
EXP-000018,WS/MP381/2025-2026/254856,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2026-06-15,Nangali Enterprises,Payment Success,389980.0,,False,,,0.0,True
EXP-000019,WS/MP381/2025-2026/254101,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2026-07-13,JJ ENTERPRISES,Payment Success,614569.0,,False,,,0.0,True
EXP-000020,WS/MP381/2025-2026/254101,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2026-07-13,JJ ENTERPRISES,Payment Success,303164.0,,False,,,0.0,True
EXP-000021,WS/MP381/2025-2026/254101,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2026-07-13,JJ ENTERPRISES,Payment Success,546360.0,,False,,,0.0,True
EXP-000022,WS/MP381/2025-2026/254101,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2026-07-15,JJ ENTERPRISES,Payment Success,582111.0,,False,,,0.0,True
EXP-000023,WS/MP381/2025-2026/254101,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2026-05-21,JJ ENTERPRISES,Payment Success,439736.0,,False,,,0.0,True
EXP-000024,WS/MP381/2026-2027/275558,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2026-07-29,THE CHAWINDA COOPRATIVE LABOUR AND CONSTRUCTION SOCIETY,Payment Success,489349.0,,False,,,0.0,True
EXP-000025,WS/MP381/2026-2027/278069,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,2026-07-30,SHEIKH FARID AGRO TECH,Payment Success,150000.0,,False,,,0.0,True
EXP-000026,WS/MP18311/2024-2025/142721,Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,2026-09-03,Jagdish Singh,Payment In-Progress,24128.0,,False,,,0.0,True
EXP-000027,WS/MP18311/2024-2025/142721,Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,2025-05-15,Saini Cement and Shuttering Store,Payment Success,20000.0,,False,,,0.0,True
EXP-000028,WS/MP18311/2024-2025/142721,Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,2025-05-15,Saini Cement and Shuttering Store,Payment Success,6300.0,,False,,,0.0,True
EXP-000029,WS/MP18311/2024-2025/142721,Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,2025-05-15,Saini Cement and Shuttering Store,Payment Success,9450.0,,False,,,0.0,True
EXP-000030,WS/MP18311/2024-2025/142721,Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,2025-05-15,Saini Cement and Shuttering Store,Payment Success,41976.0,,False,,,0.0,True
EXP-000031,WS/MP18311/2024-2025/143228,Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,2025-06-06,TAKIAR GYM INDUSTRY,Payment Success,118662.0,,False,,,0.0,True
EXP-000032,WS/MP18311/2024-2025/149557,Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,2025-02-24,Ms R B Construction Co,Payment Success,93220.0,,False,,,0.0,True
EXP-000033,WS/MP18311/2024-2025/149557,Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,2025-02-24,Ms R B Construction Co,Payment Success,92866.0,,False,,,0.0,True
EXP-000034,WS/MP18311/2024-2025/149557,Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,2025-02-24,Ms R B Construction Co,Payment Success,84134.0,,False,,,0.0,True
EXP-000035,WS/MP18311/2024-2025/149557,Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,2025-02-24,Ms R B Construction Co,Payment Success,33342.0,,False,,,0.0,True
EXP-000036,WS/MP18311/2024-2025/149557,Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,2025-02-24,Ms R B Construction Co,Payment Success,18880.0,,False,,,0.0,True
EXP-000037,WS/MP18311/2024-2025/149557,Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,2025-02-24,Ms R B Construction Co,Payment Success,37520.0,,False,,,0.0,True
EXP-000038,WS/MP18311/2024-2025/149557,Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,2025-02-24,NURAIN MIYAN,Payment Success,76560.0,,False,,,0.0,True
EXP-000039,WS/MP18311/2024-2025/149557,Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,2025-02-24,NURAIN MIYAN,Payment Success,63478.0,,False,,,0.0,True
EXP-000040,WS/MP18311/2024-2025/149556,Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,2026-04-23,The Nawanshahar janta coop L C Society LTD,Payment Success,152429.0,,False,,,0.0,False
EXP-000041,WS/MP18311/2024-2025/149556,Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,2025-12-31,The Nawanshahar janta coop L C Society LTD,Payment Success,847571.0,,False,,,0.0,False
EXP-000042,WS/MP18311/2024-2025/161353,Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,2026-05-13,PAWAN ENTERPRISES,Payment Success,156332.0,,False,,,0.0,False
EXP-000043,WS/MP18311/2024-2025/161353,Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,2026-05-13,GURU NANAK TRACTOR WORKS,Payment Success,43668.0,,False,,,0.0,False
EXP-000044,WS/MP18311/2025-2026/194233,Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,2026-02-05,THE GHAGGAR COP L C SOCIETY LTD ROPAR R,Payment Success,526743.0,,False,,,0.0,False
