expenditure_id,work_id,state,mp_name,constituency,expenditure_date,vendor_name,payment_status,fund_disbursed_amount,data_notes,is_exact_duplicate,duplicate_group_id,duplicate_group_size,potential_duplicate_amount,expenditure_without_matching_work
TG-EXP-000001,WS/MP18192/2025-2026/196895,Telangana,DR.MALLU RAVI,NAGARKURNOOL(SC),2026-09-03,PRAGATHI CONSTRUCITONS,Payment In-Progress,1451220.0,,False,,,0.0,False
TG-EXP-000002,WS/MP18192/2025-2026/216155,Telangana,DR.MALLU RAVI,NAGARKURNOOL(SC),2026-09-03,KESIREDDY MURALIDHAR REDDY,Payment In-Progress,340538.0,,False,,,0.0,False
TG-EXP-000003,WS/MP18190/2026-2027/186752,Telangana,BALRAM NAIK PORIKA,MAHABUBABAD,2026-09-03,KOMMURAJULA UPPALAIAH,Payment In-Progress,290676.0,,False,,,0.0,False
TG-EXP-000004,WS/MP18193/2025-2026/250171,Telangana,EATALA RAJENDER,MALKAJGIRI,2026-08-18,MOHAMMED RAHEEMUDDIN,Payment In-Progress,307074.0,,False,,,0.0,False
TG-EXP-000005,WS/MP18393/2024-2025/163263,Telangana,MADHAVANENI RAGHUNANDAN RAO,MEDAK,2026-07-08,CHILIPI RAMANA REDDY,Payment Success,999351.0,,False,,,0.0,False
TG-EXP-000006,WS/MP18194/2026-2027/236865,Telangana,SURESH KUMAR SHETKAR,ZAHIRABAD,2026-05-21,NARVA SRINIVAS,Payment Success,100000.0,,False,,,0.0,False
TG-EXP-000007,WS/MP18389/2026-2027/161132,Telangana,KADIYAM KAVYA,WARANGEL(SC),2026-05-20,Maraneni Upender Rao,Payment Success,199222.0,,False,,,0.0,False
TG-EXP-000008,WS/MP18194/2025-2026/228387,Telangana,SURESH KUMAR SHETKAR,ZAHIRABAD,2026-07-24,HARMONY MOTORS PVT LTD,Payment Success,126851.0,,False,,,0.0,False
TG-EXP-000009,WS/MP18194/2025-2026/236886,Telangana,SURESH KUMAR SHETKAR,ZAHIRABAD,2026-07-24,SAI KIRSHNA HONDA,Payment Success,130165.0,,False,,,0.0,False
TG-EXP-000010,WS/MP18192/2025-2026/230729,Telangana,DR.MALLU RAVI,NAGARKURNOOL(SC),2025-11-12,JJ MOTORS,Payment Success,139090.0,,False,,,0.0,False
